콘텐츠,동영상 제목,동영상 게시 시간,길이,조회수,시청 시간(단위: 시간),구독자,예상 수익 (KRW),노출수,노출 클릭률 (%)
합계,,,,10799927,498099.6805,802,12564683.991,86067060,5.57
mo3sIjjV2JQ,라떼의 군대리아 교본,"Feb 3, 2023",54,2419272,19180.9885,1130,365464.256,1626463,8.23
qyyatcs_erg,누가 범인일까요?,"May 1, 2025",28,900401,3454.6633,404,105765.74,360915,8.23
onKX58reXbs,키티그림자 만드는 방법,"May 27, 2025",22,209922,623.8435,2,19334.196,100648,5.11
FdPYXhlk3t8,치킨 더 맛있게 먹는 방법 #치킨,"May 24, 2025",22,139099,428.2478,9,13726.103,209639,5.7
6dcaG1CS6G0,1시간 숙성 짜장면 먹방입니다!!,"Apr 6, 2025",730,124283,8074.5227,100,251828.816,1467531,7.34
osrgux5U93o,저속노화 콰삭킹 먹방입니다!!,"Apr 2, 2025",942,112248,8745.9396,116,241823.311,1495829,6.45
etcGWVoMegM,탕수육소짜 도전먹방,"May 30, 2025",788,108139,7835.5191,83,222873.184,1423380,6.72
FGpLblFtzzA,도쿄 8일 브이로그,"Apr 21, 2025",1922,107162,18143.1606,98,321523.429,1826157,4.72
EW-JlLcTfFg,배달 잔치국수 먹방입니다!,"Apr 27, 2025",748,90980,7108.5067,67,207437.449,1149179,6.91
btiOswdMZdI,라면풀코스,"Feb 3, 2025",59,89544,646.2415,48,15688.859,640840,7.14
OS2L9C6j1k4,편의점 크릴브륄레,"Apr 11, 2025",59,81276,454.6947,7,9655.504,238927,3.68
ua5545jFqgk,삥빵뽕빵삥빵 야옹,"Jun 2, 2025",11,76205,136.3674,3,6497.672,171655,7.71
p41w5K49eok,폭삭 쏟았수다 #왓츠인마이백,"May 29, 2025",34,74427,268.0581,1,7083.506,154523,5.7
jc4gL24sDrM,윤남노 선생님의 프랭크버거 4종 먹방입니다!!,"May 2, 2025",829,72689,6139.7112,22,171002.093,1068553,5.83
MAeNiOB-270,상남자의 홍콩 브이로그,"May 10, 2025",1870,69910,12833.125,43,221982.287,1276567,4.3
ycWajaDuDFk,이렇게 먹으면 배불러서 아무것도 못 먹는 다이어트 먹방,"Nov 24, 2024",1025,69882,4508.2235,151,111165.411,1276289,4.93
YVw1fOnKrEg,건더기 없어서 살 안쪄 이치란 라멘 먹방,"May 6, 2025",1030,67227,7273.5691,32,158645.038,1084676,4.99
WIvBATViqa8,죽다이어트 브이로그,"Apr 8, 2025",1544,66825,9517.6206,47,181502.21,1127779,5.05
L6IxaW849Mg,막내는 싸가지가 없어 한솥 도시락 먹방,"Apr 4, 2025",654,66251,5155.3254,33,157887.157,873011,6.38
59nEtjgnFU8,인생실수 땡쇼크 먹방,"Apr 10, 2025",513,64022,3741.1876,39,138431.258,709589,7.48
KQ17L6_HK0w,어쩔 수가 없었어요 교촌반반치킨 먹방,"Apr 19, 2025",1187,62112,6337.4919,22,149812.288,974404,5.22
LnE0TyX-xho,행복먹방 불족발,"May 25, 2025",911,61736,5377.9762,30,139773.193,682780,7.61
1y-DKHuzpJw,파닭에 치맥,"Apr 24, 2025",829,60287,5414.8187,36,149053.21,804158,6.26
wNyDI6L0c4U,짜,"Jun 1, 2025",602,59258,3839.8916,17,114743.028,661104,7.88
UzhVQNd99I4,돼지목살김치찜 먹방,"Apr 16, 2025",561,58390,3469.1224,25,124085.936,739653,6.73
2t5iR1ugYyg,그렇게 맵지 않은데 한입만 드셔봐주세요 마라치킨 먹방,"May 20, 2025",731,58380,4634.6642,19,138333.72,741398,6.77
N-8PnBaeCWI,일하는 날 망고치킨 먹방,"Jun 15, 2025",815,58278,5118.6499,23,136564.233,824231,6.2
KbbaYLeWdHk,라유 먹방입니다!!,"May 17, 2025",770,57614,4560.5047,33,143328.686,757783,6.63
DtV0okXx16o,전 괜찮아요 쯔란먹방,"Jun 7, 2025",872,55438,4528.9727,29,121264.691,820324,5.79
Ja9cpUva90Y,내 몸에는 치킨이 돌고있다 꽁김당 먹방,"May 13, 2025",716,53627,4212.7187,22,125076.177,746412,5.98
